"Sample.Name","Biol.Rep","Year","Month","Day","TP.ug.L","TDP.ug.L","SRP.ug.L","TN.ug.L","TDN.ug.L","NO3.plus.NO2.ug.L","NO2.only.ug.L","NH4.ug.L","Notes"
"ME15May2014","B",2014,5,15,68.777,43.71,NA,1354.709,1145.588,NA,NA,NA,NA
"ME23May2014","A",2014,5,23,60.687,31.733,NA,1304.761,1114.943,NA,NA,NA,NA
"ME23May2014","B",2014,5,23,59.793,38.586,NA,1323.68,1126.263,NA,NA,NA,NA
"ME28May2014","A",2014,5,28,50.527,21.582,NA,1303.13,1102.04,NA,NA,NA,NA
"ME28May2014","B",2014,5,28,48.419,26.345,NA,1290.101,1101.975,NA,NA,NA,NA
"ME29May2014","A",2014,5,29,45.398,34.068,NA,1239.499,1121.901,NA,NA,NA,NA
"ME29May2014","B",2014,5,29,43.22,34.849,NA,1221.503,1138.608,NA,NA,NA,NA
"ME30May2014","A",2014,5,30,43.5,42.208,NA,1213.495,1115.575,NA,NA,NA,NA
"ME30May2014","B",2014,5,30,42.758,38.706,NA,1217.996,1158.474,NA,NA,NA,NA
"ME08Jun2014","A",2014,6,8,54.274,45.091,NA,1260.748,1135.984,NA,NA,NA,NA
"ME08Jun2014","B",2014,6,8,49.751,41.644,NA,1218.893,1137.9,NA,NA,NA,NA
"ME10Jun2014","A",2014,6,10,63.038,39.008,NA,1276.054,1065.929,NA,NA,NA,NA
"ME10Jun2014","B",2014,6,10,49.5,37.428,NA,1202.168,1093.253,NA,NA,NA,NA
"ME16Jun2014","A",2014,6,16,52.989,31.994,NA,1231.202,993.069,NA,NA,NA,NA
"ME16Jun2014","B",2014,6,16,57.707,34.673,NA,1231.31,1017.4,NA,NA,NA,NA
"ME17Jun2014","A",2014,6,17,47.411,27.712,NA,1203.64,954.529,NA,NA,NA,NA
"ME17Jun2014D0","S",2014,6,17,344.41,19.799,NA,7644.494,809.699,NA,NA,NA,"This is the corrected value from testing a 1:10 dilution for TN (695 diluted, 8390 not diluted) and TP (31 diluted, 369 not diluted)"
"ME18Jun2014","A",2014,6,18,57.548,43.214,NA,1264.735,1067.262,NA,NA,NA,NA
"ME18Jun2014","B",2014,6,18,74.617,40.296,NA,1391.108,1020.358,NA,NA,NA,NA
"ME19Jun2014","A",2014,6,19,46.96,30.149,NA,1158.132,944.733,NA,NA,NA,NA
"ME19Jun2014","B",2014,6,19,46.059,30.546,NA,1193.536,951.016,NA,NA,NA,NA
"ME24Jun2014","A",2014,6,24,37.366,24.176,NA,1094.269,890.474,NA,NA,NA,NA
"ME24Jun2014","B",2014,6,24,37.857,27.512,NA,1071.135,941.436,NA,NA,NA,NA
"ME26Jun2014","A",2014,6,26,34.955,24.725,NA,1075.185,938.303,NA,NA,NA,NA
"ME26Jun2014","B",2014,6,26,38.306,25.45,NA,1092.847,946.708,NA,NA,NA,NA
"ME30Jun2014","A",2014,6,30,38.303,20.505,NA,1049.793,904.125,NA,NA,NA,NA
"ME30Jun2014","B",2014,6,30,34.823,21.575,NA,1033.15,891.44,NA,NA,NA,NA
"ME04Jul2014","A",2014,7,4,43.726,28.898,NA,1051.476,867.55,NA,NA,NA,NA
"ME04Jul2014","B",2014,7,4,43.938,32.741,NA,1060.073,888.632,NA,NA,NA,NA
"ME04Jul2014D0","S",2014,7,4,97.295,29.792,NA,2121.581,693.666,NA,NA,NA,"This is the corrected value from testing a 1:10 dilution for TN (193 diluted, 2485 not diluted) and TP (9 diluted, 97 not diluted)"
"ME08Jul2014","A",2014,7,8,41.219,27.883,NA,993.935,792.755,NA,NA,NA,"Dates corrected from the 4/8 written on the bottle"
"ME08Jul2014","B",2014,7,8,38.971,25.676,NA,971.715,748.242,NA,NA,NA,"Dates corrected from the 4/8 written on the bottle"
"ME17Jul2014","A",2014,7,17,39.531,24.698,NA,1032.837,774.762,NA,NA,NA,NA
"ME17Jul2014","B",2014,7,17,38.975,31.258,NA,974.32,814.212,NA,NA,NA,NA
"ME20Jul2014","A",2014,7,20,33.61,19.36,NA,946.75,772.185,NA,NA,NA,"Dates corrected from the 4/20 written on the bottle"
"ME20Jul2014","B",2014,7,20,33.18,22.729,NA,991.821,922.565,NA,NA,NA,"Dates corrected from the 4/20 written on the bottle"
"ME24Jul2014","A",2014,7,24,36.908,18.94,NA,963.784,769.385,NA,NA,NA,NA
"ME24Jul2014","B",2014,7,24,31.855,16.285,NA,961.043,777.971,NA,NA,NA,NA
"ME27Jul2014","A",2014,7,27,27.259,20.608,NA,757.124,543.797,NA,NA,NA,NA
"ME27Jul2014","B",2014,7,27,25.223,14.195,NA,717.82,517.057,NA,NA,NA,NA
"ME01Aug2014","A",2014,8,1,27.608,18.621,NA,779.127,570.412,NA,NA,NA,NA
"ME01Aug2014","B",2014,8,1,30.424,15.206,NA,783.067,581.628,NA,NA,NA,NA
"ME03Aug2014","A",2014,8,3,25.019,15.177,NA,763.045,609.985,NA,NA,NA,NA
"ME03Aug2014","B",2014,8,3,26.523,18.633,NA,751.714,591.031,NA,NA,NA,NA
"ME05Aug2014","A",2014,8,5,26.08,18.216,NA,758.447,616.877,NA,NA,NA,NA
"ME05Aug2014","B",2014,8,5,25.369,13.494,NA,739.184,596.677,NA,NA,NA,NA
"ME06Aug2014","A",2014,8,6,27.734,15.543,NA,786.481,633.312,NA,NA,NA,NA
"ME06Aug2014","B",2014,8,6,26.486,15.543,NA,764.589,593.551,NA,NA,NA,NA
"ME07Aug2014","A",2014,8,7,24.137,14.763,NA,803.463,657.186,NA,NA,NA,NA
"ME07Aug2014","B",2014,8,7,26.102,15.08,NA,843.312,648.657,NA,NA,NA,NA
"ME15Aug2014","A",2014,8,15,27.574,17.915,NA,748.521,618.668,NA,NA,NA,NA
"ME15Aug2014","B",2014,8,15,30.334,12.827,NA,768.736,578.092,NA,NA,NA,NA
"ME18Aug2014","A",2014,8,18,22.15,21.434,NA,718.285,551.539,NA,NA,NA,NA
"ME18Aug2014","B",2014,8,18,27.843,19.661,NA,755.939,558.764,NA,NA,NA,NA
"ME19Aug2014","A",2014,8,19,26.634,19.482,NA,692.59,500.915,NA,NA,NA,NA
"ME19Aug2014","B",2014,8,19,26.061,19.536,NA,714.767,507.526,NA,NA,NA,NA
"ME20Aug2014","A",2014,8,20,27.717,1.771,NA,716.249,517.557,NA,NA,NA,NA
"ME20Aug2014","B",2014,8,20,20.585,28.216,NA,675.893,506.921,NA,NA,NA,NA
"ME21Aug2014","A",2014,8,21,35.825,22.142,NA,887.098,547.136,NA,NA,NA,NA
"ME21Aug2014","B",2014,8,21,24.609,21.171,NA,730.062,545.185,NA,NA,NA,NA
